;0;1;2;3;4;5;6;7;8;9
0;0,9974715645927928;0,0007137325173497745;0,0017843312933744362;0,0;0,0;1,5185798241484564e-05;0,0;7,592899120742282e-06;7,592899120742282e-06;0,0
1;0,9100678733031674;0,08993212669683258;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;0,6700180977277297;0,0;0,32998190227227026;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;0,9136390708755211;0,0;0,0;0,08636092912447886;0,0;0,0;0,0;0,0;0,0;0,0
4;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
5;0,8866171003717472;0,0;0,0;0,0;0,0;0,11338289962825279;0,0;0,0;0,0;0,0
6;0,9455630126771066;0,0;0,0;0,0;0,0;0,0;0,054436987322893364;0,0;0,0;0,0
7;0,5864661654135338;0,0;0,0;0,0;0,0;0,0;0,0;0,41353383458646614;0,0;0,0
8;0,9830220713073005;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01697792869269949;0,0
9;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
